hotel_name,class_of_rating,rating,num_reviews
Bluebird Suites at Boston's Theatre District,Very Good,8.2,58
102 Chandler #6 By Lyon Apartments,N/A,N/A,N/A
Hilton Garden Inn Boston Logan Airport,Awesome,9.0,947
One-Bedroom on Boylston Street Apt 1311,N/A,N/A,N/A
112 Myrtle St #1 by Lyon Apartments,Good,7.8,20
The Verb Hotel,Awesome,9.0,1051
Three-Bedroom on Hamilton Place Apt 408,N/A,N/A,N/A
Canal Street Apartment by Stay Alfred,Awesome,9.0,201
102 Chandler #5 By Lyon Apartments,N/A,N/A,N/A
Two-Bedroom House on Columbus Avenue,N/A,N/A,N/A
Two-Bedroom on Hamilton Place Apt 502,N/A,N/A,N/A
One-Bedroom on Washington Street Apt 308,N/A,N/A,N/A
Chandler Inn Hotel,Good,7.8,824
Two-Bedroom on Hamilton Place Apt 402,N/A,N/A,N/A
The Baldwin at Longwood Medical Area,Awesome,9.1,143
Modern Spacious Two Bedroom With Balcony!,N/A,N/A,N/A
Global Luxury Suites at China Town,Very Good,8.2,223
Three-Bedroom on Larose Place Apt L,Excellent,8.7,13
Hotel Boston,Good,7.4,594
Bricco Suites,Excellent,8.7,398
One-Bedroom on Boylston Street Apt 9,N/A,N/A,N/A
Global Luxury Suites at Fenway,Excellent,8.6,118
W Boston,Excellent,8.7,677
Back Bay Beacon,Very Good,8.3,155
Hyatt Regency Boston,Very Good,8.5,1374
Apartment in the Heart of Boston,Very Good,8.2,7
Jefferies Point Condos by Airport & Subway - 2,N/A,N/A,N/A
Courtyard Boston Downtown,Very Good,8.2,438
Global Luxury Suites at Massachusetts General,Good,7.9,46
Courtyard Boston Downtown,Very Good,8.2,438
Global Luxury Suites at Massachusetts General,Good,7.9,46
Charlesmark Hotel,Very Good,8.4,965
Two-Bedroom on Columbia Road Apt 1D,N/A,N/A,N/A
DoubleTree Suites by Hilton Hotel Boston - Cambridge,Excellent,8.6,976
Two-Bedroom on Western Avenue Apt S - 404,N/A,N/A,N/A
One-Bedroom on Beacon Street Apt 201,Awesome,9.0,7
One-Bedroom on St. Botolph Street Apt 10,N/A,N/A,N/A
Boston Yacht Haven,Exceptional,9.5,393
Boston Harbor View Luxury Suites,Very Good,8.2,172
Constitution Inn,Review score,6.7,1404
Studio on Arch Street Apt 4A,Excellent,8.8,8
Hilton Boston Back Bay,Very Good,8.2,525
Three-Bedroom on South Street Apt 11,N/A,N/A,N/A
Concord Square by Short Term Rentals Boston,Review score,6.9,571
Two-Bedroom on D Street Apt 312,N/A,N/A,N/A
Studio on Arch Street Apt 4B,N/A,N/A,N/A
Boston Marriott Copley Place,Excellent,8.6,1073
